"Comp1","Comp2","Comp3","Comp4"
-32.9843760912251,-31.1614135757074,-30.6231162725668,-42.0450655051276
-28.4308566461931,-26.5460276159655,-26.0409070056858,-34.0439931729092
-25.2663771748703,-23.3233506966602,-22.8558231727514,-29.6344188179757
-22.8856467892366,-20.8910373596992,-20.4612699399913,-26.5074284038504
-21.0307684566668,-18.9900278069574,-18.5948876596789,-24.1548891806202
-19.5587768336394,-17.4736232578995,-17.1082092652092,-22.3401840690752
-18.3801374757715,-16.2493220483228,-15.908205829889,-20.923993322073
-17.4338970005803,-15.2559025039314,-14.9339204289942,-19.8130147295158
-16.6762977142829,-14.4514761498859,-14.1443484563965,-18.9394921658184
-16.0753905769137,-13.8064810978298,-13.5113135209688,-18.2523561636401
-15.6082383487295,-13.2995287008597,-13.015032425095,-17.7131015462774
-15.2590711602597,-12.9147891477411,-12.6411529945409,-17.293157548779
-15.0171749570205,-12.6399635142021,-12.3784279827418,-16.9715157660195
-14.8733413801239,-12.4640594847691,-12.2161389243473,-16.7325221590072
-14.8134679242392,-12.3739471521783,-12.1399160354364,-16.5640428106844
-14.8071537381995,-12.3482417119388,-12.1241531451668,-16.4558697763034
-14.7932190406625,-12.3482269553827,-12.1215011956126,-16.3977919630866
-14.6874511539725,-12.314123770001,-12.0625968701933,-16.3770095088841
-14.4474916846126,-12.1891270312797,-11.8928786900889,-16.375594985869
-14.1203970663062,-11.9665410712459,-11.622774183935,-16.3697994892079
-13.7853412059362,-11.693414211902,-11.3116919193366,-16.3338791607535
-13.4937147439696,-11.4240511132884,-11.0135597369255,-16.2495793825673
-13.2654470624622,-11.1912302865623,-10.7565960477003,-16.1151248587396
-13.1026337356877,-11.007351228175,-10.5501313640189,-15.943893001299
-12.99865368939,-10.872973707864,-10.3938744806757,-15.7542044625238
-12.9422564095346,-10.7827369673819,-10.2831695259414,-15.5608074929275
-12.9194067367861,-10.7283826187995,-10.2112978245725,-15.3726062339946
-12.9148972219041,-10.7003638881257,-10.170372775431,-15.1940411146078
-12.9148097355913,-10.6891106470769,-10.1517663491403,-15.0271274702846
-12.909583508081,-10.6863488839259,-10.1465887107147,-14.8730256675975
-12.8960065469129,-10.686249179973,-10.1464656159072,-14.7329727423918
-12.8764748519774,-10.6858722875218,-10.1445612255528,-14.6086029119665
-12.8559557680291,-10.6846400093015,-10.1364974884137,-14.5017615283257
-12.8388390664268,-10.6831624375608,-10.1207101656912,-14.4140315752824
-12.8272913060845,-10.6821124578434,-10.0980156824849,-14.3462929646845
-12.8211925218709,-10.6816712093524,-10.0706178848165,-14.2985138565934
-12.8189644083656,-10.6815981558037,-10.0410576135473,-14.2695746671069
-12.8186189764294,-10.6815970665867,-10.011485701694,-14.2567183400458
-12.8185969940552,-10.6815751238851,-9.98334380171187,-14.2545042634711
-12.8181847063737,-10.6815749403866,-9.95734859186822,-14.2536528900119
-12.8174701889653,-10.6814209971133,-9.93363613340122,-14.2408272985344
-12.8169282216037,-10.6803143109265,-9.91195849179077,-14.2010905720327
-12.8168258515814,-10.6766520052915,-9.89187326253533,-14.1238740209108
-12.8166854918341,-10.6682404350147,-9.87290086283499,-14.0092742403567
-12.8150019211813,-10.6528755847692,-9.85464287386571,-13.8688191443715
-12.8093497553318,-10.6290703653974,-9.83686277484993,-13.7197065983577
-12.7969242102561,-10.5966083397184,-9.81953008474029,-13.5779235761692
-12.7753835099071,-10.5566686942582,-9.80282477330302,-13.4546803834961
-12.743685349639,-10.5115018601316,-9.78709702426248,-13.3560659140965
-12.7025247802708,-10.4639030629306,-9.7727805276402,-13.2839303702459
-12.6540849806723,-10.4167836565814,-9.76027213710395,-13.236687394251
-12.6012045536723,-10.3729251116188,-9.74981524361405,-13.2099752373151
-12.546486171758,-10.3347843205686,-9.74143365227246,-13.1976865788454
-12.4918398770286,-10.3042223664389,-9.73494285059006,-13.193542827704
-12.4385479341861,-10.2821791193962,-9.73002834479196,-13.1927194744403
-12.3876421992013,-10.2684295929136,-9.72634902659368,-13.1926677542936
-12.3403314954272,-10.2615700733775,-9.72362010749985,-13.1926672262668
-12.29825525932,-10.2593228120155,-9.72165262408839,-13.1926158063384
-12.2634049265317,-10.2591345171786,-9.72034725995959,-13.1921417234762
-12.2376512798738,-10.258900268214,-9.71964440430738,-13.1906898454409
-12.2219410968245,-10.2575370504727,-9.71943283469021,-13.1882671432434
-12.2153783835559,-10.2551379334613,-9.71943267460984,-13.1858837258167
-12.21456598061,-10.2526041436536,-9.71909066019025,-13.1848485002532
-12.2136877200116,-10.2509176328515,-9.7175373023664,-13.184838468074
-12.2057159308328,-10.250412350268,-9.71364358866097,-13.181611033687
-12.1846210872402,-10.2504030397535,-9.70618696226678,-13.1660203756647
-12.1476233183361,-10.2493578041047,-9.69410356712562,-13.1262384231344
-12.0961362032942,-10.245552559544,-9.67676737151622,-13.0535990825022
-12.0348378047467,-10.2379147782864,-9.65420757826794,-12.9487190222534
-11.969645144463,-10.2266435243028,-9.62718222765994,-12.8225069435322
-11.9058862516313,-10.2132688853381,-9.59707242634744,-12.6911121727115
-11.8473713283557,-10.2000820373122,-9.56561309578781,-12.569630734904
-11.7962702413445,-10.1892050775844,-9.53452521365765,-12.4687096884831
-11.7533985740165,-10.1817900466061,-9.50517262504012,-12.3940089482866
-11.7186121888541,-10.1777610502655,-9.47837403959664,-12.3466679951438
-11.6911753737592,-10.1761601797415,-9.45441673008178,-12.3236085669213
-11.6700584289702,-10.1757967929825,-9.43321930433545,-12.3175762415863
-11.6541581720152,-10.1757875707568,-9.41454946935274,-12.3175715170149
-11.6424489045516,-10.1757371131916,-9.39821296099093,-12.3107451188134
-11.6340681036521,-10.1755905794266,-9.38416352836596,-12.2863058037611
-11.6283352807927,-10.175385432212,-9.37251940815242,-12.239965030704
-11.6247130691185,-10.1750883249279,-9.36349388876134,-12.1757353251492
-11.6227389200726,-10.1744757854778,-9.35725525995921,-12.1035230177345
-11.6219553520856,-10.1728418462344,-9.35374008089799,-12.034541613771
-11.6218454340441,-10.168390651626,-9.35246348013739,-11.9775797522142
-11.6217770716486,-10.1575096281055,-9.35238985208171,-11.9372952121719
-11.6209935720984,-10.1345342045484,-9.35193251274413,-11.9140525605284
-11.6187069964096,-10.092760085665,-9.34913370320909,-11.9045734718258
-11.6142944668753,-10.0269248722266,-9.34202994258957,-11.9030550149677
-11.6075052982155,-9.9361099379759,-9.32913111181786,-11.9027002990494
-11.5985583832446,-9.82506742960667,-9.30985860965085,-11.8975341520208
-11.5880710472841,-9.70288917062968,-9.28476611484792,-11.8840313420283
-11.5768570361736,-9.58006072753121,-9.25545022367324,-11.8619126510037
-11.5656930396068,-9.46580412199937,-9.22419330633152,-11.8337909176253
-11.5551435202089,-9.36668689374028,-9.19347704551301,-11.8039308122684
-11.5454810173351,-9.28635656033489,-9.1655191850045,-11.77673389808
-11.5366904775333,-9.22587220965349,-9.14193730576758,-11.7554986536534
-11.5285207074825,-9.18422007455902,-9.12358218808685,-11.741723466341
-11.520551826112,-9.15882574515612,-9.11053683072131,-11.7349635850088
-11.5122689740382,-9.14603444870051,-9.10224522886002,-11.7331319306131
-11.5031486231369,-9.14158963079498,-9.09772006722843,-11.7331287059988
-11.4927718474255,-9.14112913376815,-9.09578057049656,-11.7316875445546
-11.4809626215319,-9.14068351256402,-9.09527751637614,-11.7262570577188
-11.4679057721812,-9.13712457582068,-9.09526665470863,-11.7156559051536
-11.4541820972916,-9.12847469771611,-9.09510383540556,-11.7002549311158
-11.4407008804311,-9.11398391958718,-9.09445745901848,-11.6816134113999
-11.4285491393138,-9.09395413222899,-9.0932570351232,-11.6617810867055
-11.4187655330194,-9.06939673761791,-9.09160937253963,-11.642638583062
-11.4120486799938,-9.04166062753603,-9.08971061555029,-11.625520584048
-11.4084728091857,-9.01212973693924,-9.08777084098644,-11.6111276585278
-11.4073455343824,-8.98202211848262,-9.08596030585005,-11.5996189715209
-11.4073198828469,-8.95228545407971,-9.08438228546924,-11.590780882633
-11.4067669188987,-8.9235730729246,-9.08307107314897,-11.5841967450466
-11.4042814265646,-8.89627187010017,-9.0820063645667,-11.5793791307653
-11.3991031301296,-8.87053724193591,-9.08113182844289,-11.5758586202784
-11.3912787377263,-8.84630245954174,-9.08036847475432,-11.5732373933053
-11.3815422429016,-8.82327965905664,-9.07961836253207,-11.5712144367571
-11.3710160442344,-8.8009992549011,-9.07875645786754,-11.5695887555218
-11.3608699576296,-8.7789098564964,-9.07761254056246,-11.5682491648111
-11.3520425853182,-8.7565263769478,-9.07595677471362,-11.567156245084
-11.3450761002767,-8.73360310306744,-9.07351550222384,-11.5663179008251
-11.340079278323,-8.71029992903474,-9.07004211511378,-11.5657596250678
-11.3368070410558,-8.68728644180571,-9.06544044461533,-11.5654879162622
-11.3348138687697,-8.66571254056867,-9.05989356117204,-11.5654393424515
-11.3336182357052,-8.64700022089421,-9.05391929106121,-11.5654108374082
-11.3328153916382,-8.63247585486958,-9.04828655049207,-11.5649875953355
-11.3320971855074,-8.62292805081337,-9.04378812782107,-11.5635115696459
-11.3311843180881,-8.61821354857574,-9.04094303702194,-11.5601381842206
-11.3297320713506,-8.61703824462118,-9.03974972428136,-11.5539986442482
-11.3272932708486,-8.61702329329738,-9.03960554992027,-11.5444380699423
-11.3233943769723,-8.6151203074659,-9.03945066176276,-11.5312590934023
-11.3177217772068,-8.60833573642616,-9.03810472678702,-11.5148812572704
-11.3103412518343,-8.59456938647922,-9.03467560887408,-11.4963404975501
-11.3018185864984,-8.57325149449901,-9.02887357329409,-11.4771056884976
-11.2931331444635,-8.54549758848034,-9.02109832422864,-11.458765256691
-11.285385731255,-8.51371977481528,-9.01227359975315,-11.4426953310194
-11.2794313135601,-8.4808942097755,-9.00352084776581,-11.4298129021374
-11.2756166788319,-8.44979278191346,-8.99581688525702,-11.4204551442241
-11.2737294188369,-8.42241835705951,-8.98975936805029,-11.4143892266558
-11.2731493760508,-8.39976224925642,-8.98549971905583,-11.4109530093399
-11.2731181117343,-8.38188491951635,-8.98282760942325,-11.4092940708271
-11.2730114665991,-8.36820867219711,-8.98133809558885,-11.4086227404876
-11.2725107293993,-8.35786211149401,-8.9806012153801,-11.4083819754185
-11.2716182339304,-8.3499558812158,-8.98027519770946,-11.4082756686996
-11.2705381187632,-8.34374533444423,-8.98014318832258,-11.4081703310992
-11.269505855623,-8.33869486539047,-8.9800928408991,-11.4079585509886
-11.2686606936959,-8.33448239585669,-8.98007576665741,-11.4074871189597
-11.268009412587,-8.33097502778062,-8.98007307603634,-11.4065971832179
-11.2674610957978,-8.32818423607341,-8.98007124628318,-11.4052425403627
-11.2668642010676,-8.32619226480892,-8.98003953176815,-11.4035876649191
-11.2659881433834,-8.32504612922147,-8.97990414884933,-11.4019871317054
-11.264461490631,-8.32463964947383,-8.97952844902073,-11.4008277775534
-11.2617452951246,-8.32462594844511,-8.97871662369717,-11.4003075665843
-11.2572120755602,-8.32440313259861,-8.97725140531588,-11.4002594742095
-11.250319503726,-8.32319465794223,-8.97495877488746,-11.4001065054886
-11.2407934227043,-8.32021339916295,-8.97177758693833,-11.3989876127391
-11.2287327588526,-8.31486334938063,-8.96780698973914,-11.3960311665935
-11.2146013851343,-8.30691032439785,-8.96331026676541,-11.3906758680142
-11.1991284189328,-8.29656149686846,-8.95866790092122,-11.3828948631735
-11.1831708109233,-8.28443029161404,-8.95429097541321,-11.3732197560496
-11.1675908081104,-8.27140444754427,-8.95052286996502,-11.3625657594686
-11.1531724138058,-8.25846292406163,-8.94756533016119,-11.3519497205561
-11.1405718668689,-8.24649525010095,-8.94545607339654,-11.3422202918298
-11.1302853973657,-8.23616444038944,-8.94409914830889,-11.3338889177398
-11.1226133848484,-8.2278339961268,-8.94332401989876,-11.3270928112955
-11.117604361472,-8.22156414224847,-8.94294397541688,-11.321668867107
-11.114988715197,-8.21716902705708,-8.94279624774046,-11.3172843614634
-11.1141411629694,-8.2143109194474,-8.94276032065906,-11.3135630722319
-11.1141122689119,-8.21259890596468,-8.94275925238771,-11.3101691839562
-11.1137468581944,-8.21166605373998,-8.94275123258973,-11.3068502704402
-11.111881643596,-8.21121428218742,-8.94271751526997,-11.3034636578482
-11.1075856226821,-8.21102915069249,-8.94265095824768,-11.3000009675421
-11.1003741517498,-8.21097296712867,-8.94254759242301,-11.2965984637796
-11.0903223533006,-8.21096595728332,-8.94240176689621,-11.2935078459135
-11.0780392150727,-8.21096416044057,-8.94220393466136,-11.291015983289
-11.064509719494,-8.21093988966844,-8.94194000841005,-11.2893298784692
-11.0508535053697,-8.21086692736872,-8.94159188963588,-11.2884718344462
-11.0380760526198,-8.21071002448368,-8.94113901104301,-11.2882371770476
-11.0268853526572,-8.21041795051978,-8.94056073337733,-11.2882371578044
-11.0176193963365,-8.20992088904361,-8.93983959999497,-11.2880080886552
-11.0102859800293,-8.20913426538728,-8.93896521969109,-11.2871400539158
-11.0046712654248,-8.20796976496076,-8.93793793195425,-11.2853719710875
-11.0004588328566,-8.20635086457816,-8.93677105793504,-11.2826213108512
-10.9973209485354,-8.20422805823359,-8.93549085729597,-11.2789526651252
-10.9949702851726,-8.20159083930083,-8.93413410636158,-11.2745118515421
-10.9931761923858,-8.19847788217624,-8.93274370297752,-11.2694559588944
-10.991758124066,-8.19498734401271,-8.93136299863961,-11.2639032989656
-10.9905715838473,-8.19128252590837,-8.93003038210509,-11.2579146772193
-10.9894962424137,-8.18758196209892,-8.92877596614436,-11.2515045516757
