"Comp1","Comp2","Comp3","Comp4"
-15.1082698309099,-9.88527623578334,-9.20277013784144,-10.1148558601852
-15.0920708017241,-9.8803464895638,-9.19490898190965,-10.106745639919
-15.0775315215792,-9.87228921503432,-9.18483669490614,-10.0919038122448
-15.066950874249,-9.86035794857816,-9.1724440549959,-10.0689048264687
-15.0609676772005,-9.84422663547258,-9.15781016045282,-10.0376010332914
-15.058672800184,-9.82418835581237,-9.1412538182109,-9.99937553741234
-15.0583268367368,-9.80118074492853,-9.12333844599394,-9.95687573287178
-15.0582791229922,-9.77660915478871,-9.10482117157663,-9.91334594780403
-15.0576073877333,-9.7520426728916,-9.08655655931267,-9.87186954724689
-15.0562356871338,-9.72890228828098,-9.06937686675683,-9.83479869557227
-15.0546094748096,-9.70823319862434,-9.05397691327055,-9.80349260545877
-15.0532273604455,-9.69060423520699,-9.04083037445594,-9.77834642874351
-15.0523331084138,-9.67613138851324,-9.03014861817295,-9.75901039056096
-15.0518871336835,-9.66458854886009,-9.02188177715363,-9.74468029250915
-15.051719865868,-9.65555510935637,-9.01576288450174,-9.73437299615523
-15.051680115686,-9.64855238081325,-9.01138754352474,-9.72713652029022
-15.0516794742495,-9.64313768385895,-9.00830505237342,-9.72217158776178
-15.0516534172116,-9.63895222314089,-9.00609427127606,-9.71886979748768
-15.0514736020085,-9.63573608813189,-9.0044080155989,-9.71679217165925
-15.0507959748713,-9.63332187057603,-9.0029835293286,-9.71561646403228
-15.0488128511276,-9.63161021981595,-9.00163086295785,-9.71507987241593
-15.0439295287248,-9.63052918831816,-9.00022001596779,-9.7149364013751
-15.0335234743293,-9.62998635960156,-8.99868527965859,-9.71493595613657
-15.014104132327,-9.62982967697865,-8.99704946947634,-9.7148206795644
-14.9821794281156,-9.62982927919026,-8.99544467469002,-9.71432886056186
-14.9357986359252,-9.62968246518576,-8.99408880264827,-9.71320120588916
-14.8761475866024,-9.62903903664749,-8.9931944718018,-9.71119156373361
-14.8081663582225,-9.62754506522176,-8.99283276026963,-9.7080851736143
-14.7395506115384,-9.62490032827369,-8.99281292259038,-9.70372361428393
-14.6785451877966,-9.62091551224421,-8.99264493306172,-9.6980302432412
-14.6316192019102,-9.61555031083611,-8.99162185063996,-9.691025723585
-14.6018241840156,-9.60892018976991,-8.98900479911839,-9.68282542663304
