"Comp1","Comp2","Comp3","Comp4"
-32.4667744334189,-33.4350201925668,-30.0279326643078,-30.7501705215547
-27.8084810038633,-28.8643211873763,-25.4382537147109,-26.1487692981124
-24.545751950429,-25.6965087571096,-22.2399480734676,-22.9364795483283
-22.0731101100625,-23.3234704349235,-19.8280425967548,-20.5104891383405
-20.1300375215985,-21.477834297868,-17.942314801341,-18.6129293302012
-18.5704830808927,-20.0053651118685,-16.43640628037,-17.0988430941281
-17.3038375830737,-18.8101447829761,-15.2188495821247,-15.8766677244614
-16.2708158626502,-17.8326392503236,-14.2294497131711,-14.8849840019641
-15.4308998057718,-17.0360355283466,-13.4271942376022,-14.0812459821975
-14.7553220576014,-16.3967876924012,-12.783342187316,-13.4354490770785
-14.223057410985,-15.8990450307003,-12.2772935532228,-12.9260623120014
-13.8182809784366,-15.5314948569625,-11.8939017106742,-12.5371846661447
-13.5283894170569,-15.2845924460452,-11.6213042366404,-12.2564227608374
-13.3419008755024,-15.1466400973611,-11.4485257615206,-12.0728736354156
-13.2451949579783,-15.0969849298301,-11.3618740536766,-11.9742175054629
-13.2164979774539,-15.0948880745699,-11.3387087911424,-11.941512535221
-13.2164903440362,-15.0711979817162,-11.3385107687386,-11.9409297940892
-13.1831274142166,-14.9519168455376,-11.3000086746503,-11.917840391558
-13.0541598837687,-14.7203483156413,-11.1664874666409,-11.8124080705165
-12.8176259203002,-14.4296150325117,-10.9324369469868,-11.6036590551805
-12.5205609116951,-14.1428493146814,-10.6452119874101,-11.3277772242957
-12.2205960257136,-13.8961319037374,-10.3585820319174,-11.0399588164879
-11.9535879456157,-13.7016410832354,-10.1050918950522,-10.7787862837658
-11.7341809014918,-13.5589039960105,-9.89760532243374,-10.5617657078138
-11.5648950781948,-13.4619001336164,-9.73778703401133,-10.3929918122991
-11.4424005106977,-13.4023945792851,-9.62192393195211,-10.2696425962414
-11.3605579328124,-13.3712976046241,-9.543829470863,-10.1855343503075
-11.3117267706377,-13.3592458951253,-9.49617379607417,-10.1329410730605
-11.287415092896,-13.3571401705299,-9.47117371023568,-10.1036946578121
