"Comp1","Comp2","Comp3","Comp4"
-32.870638484681,-33.9778059042019,-32.809332119976,-32.8574603410639
-28.24808982696,-29.4065749092981,-28.284847766462,-28.4800925567192
-25.0377611589425,-26.2333631725527,-25.1544542103897,-25.5370642782131
-22.6308521391946,-23.8499953076908,-22.810275495979,-23.4223135206764
-20.7612676193957,-21.9939177784375,-20.9894473245667,-21.8707877033794
-19.277783350434,-20.5170482248969,-19.5448692209631,-20.7293670580522
-18.0863030168314,-19.3259288441061,-18.3862647913953,-19.89954615696
-17.1251515172374,-18.358062477979,-17.4553020372848,-19.3144638459935
-16.351774797476,-17.5706478061892,-16.7127282502555,-18.9270209058793
-15.7359377714772,-16.9341789701266,-16.1317005524762,-18.7022765892766
-15.2562337409357,-16.4280699467941,-15.6937575953517,-18.6079884301666
-14.8974347210589,-16.0375478754213,-15.385219549757,-18.5963893248759
-14.6477120172888,-15.7513933394912,-15.1932909982348,-18.5804301791516
-14.4955171059181,-15.5599050036146,-15.1011324074322,-18.4504413773478
-14.4253968745145,-15.4522273283152,-15.0799745885818,-18.1728953838224
-14.4113751526536,-15.4118042099854,-15.0785139024141,-17.8226624918278
-14.4088478301164,-15.4091173600316,-15.0242305317531,-17.4838921653957
-14.3562765949206,-15.3953478193794,-14.8639548208274,-17.1973744790574
-14.2061166608216,-15.3121016933044,-14.6125079665001,-16.9730140602319
-13.9647597114733,-15.1288677809129,-14.3300338698461,-16.8074717878467
-13.6816101476118,-14.8693361020177,-14.0675065250682,-16.6927474887316
-13.4052599266525,-14.5848123696007,-13.8500758061679,-16.6195412955861
-13.1637217072553,-14.3165462350009,-13.6851740610964,-16.5786197183153
-12.9679989833114,-14.0857065044111,-13.5711695230379,-16.5610651897164
-12.819471165065,-13.8992297044981,-13.5014752293091,-16.557526561704
-12.7144382400581,-13.756475322495,-13.4661400163064,-16.5572399388162
-12.6463466289569,-13.653125302667,-13.4532299507698,-16.5484336778498
-12.6070973637385,-13.5830892912721,-13.4510818199685,-16.5212368384009
-12.5881283690598,-13.539501907652,-13.451018721212,-16.4720819466177
-12.5814168331689,-13.5154260418199,-13.4490361447244,-16.4064475735634
-12.580345433414,-13.504426090993,-13.4452606349945,-16.3370048514612
-12.5802768652966,-13.5009702934727,-13.4416420325239,-16.277529978309
-12.5786344130011,-13.5006586599831,-13.4395994364864,-16.2364276818026
-12.5744509321488,-13.5003435826526,-13.4390542493729,-16.2139194189389
-12.5676658632596,-13.4981526240125,-13.4390483974865,-16.2041811683945
-12.5585419294113,-13.4933452987881,-13.4389430389623,-16.2002621902325
-12.5473565434456,-13.4859880972637,-13.4388592753172,-16.19735537007
-12.5343128948935,-13.4765363176012,-13.4387837142988,-16.1909562602345
-12.5195704469009,-13.4654414513591,-13.4369317211063,-16.1711946537114
-12.5033213551158,-13.4528672019617,-13.4288251834657,-16.1204784629674
-12.4858572884632,-13.4385394829645,-13.4085495809642,-16.0224978389222
-12.4675820910303,-13.4217030439908,-13.3722347786644,-15.8784470319941
-12.4489610580298,-13.4011506855226,-13.3215486503608,-15.7112162341536
