"Comp1","Comp2","Comp3","Comp4"
-7.94655327075058,-13.4119808729873,-13.8859752935783,-9.29221429921332
-7.93036507508524,-13.4069764145328,-13.7668537291628,-9.28728130297742
-7.91810385508382,-13.399918720508,-13.642929593345,-9.28456515060115
-7.90959247555509,-13.389441773117,-13.522164496436,-9.28336817018619
-7.90433817174939,-13.373914956769,-13.4122917941177,-9.28304525569811
-7.90162723889206,-13.3516851756342,-13.3195361240341,-9.28303923779988
-7.90062926138138,-13.3214781476284,-13.2478333128476,-9.28290037601724
-7.90049518628277,-13.2829018477802,-13.1984699129267,-9.28229517726469
-7.90043829966193,-13.2368783449376,-13.169950828089,-9.28100802402294
-7.89979006181699,-13.1857853031687,-13.1580125891233,-9.27893560333824
-7.89802775445694,-13.1331933803912,-13.1559401072716,-9.27607277004531
-7.89477895713268,-13.0832381738861,-13.1555845880478,-9.27248993686903
-7.88981393634409,-13.03978778398,-13.1493309000873,-9.2683041325067
-7.88303545379037,-13.005651719315,-13.1324705854772,-9.26364797900476
-7.87446839191376,-12.982064425769,-13.1046823240292,-9.25864257097924
-7.86424697613282,-12.9685244548865,-13.0696422777187,-9.25338011179247
-7.85259746582941,-12.9629316115871,-13.0330299948148,-9.24792006039987
-7.83981598148582,-12.9619835958955,-13.0001354142796,-9.24229990753844
-7.82624543839587,-12.9617972409874,-12.9741931514256,-9.2365610628989
-7.81225848886602,-12.9585469316844,-12.9558952444469,-9.23078766528908
-7.79824704471163,-12.948840086449,-12.9439370748345,-9.22514362218096
-7.78461015539417,-12.9298219846301,-12.9360828190971,-9.21988084867105
-7.77173206015253,-12.8993009259799,-12.9300698572488,-9.21529881991209
-7.75994872769612,-12.856123541089,-12.9238473320217,-9.21166085223119
-7.74950886080738,-12.8007009594731,-12.9151859056145,-9.20909933416485
-7.7405419522935,-12.7353370180051,-12.9012820636724,-9.20755694996838
-7.73304628223373,-12.664059200722,-12.8791361657016,-9.20680253916868
-7.72690191874963,-12.5919497551717,-12.8469746812337,-9.2065239069936
-7.72190391392732,-12.5242403902315,-12.8059892981732,-9.20645065016684
-7.71780472352123,-12.4654667842253,-12.7609598319919,-9.20643038162352
-7.71435390493998,-12.4188547283375,-12.7189127388653,-9.20639999666516
-7.71132732224123,-12.3859515373551,-12.686448961732,-9.20625729926879
-7.70854515970034,-12.3664185157508,-12.6671429595988,-9.2057073442189
-7.70588305194335,-12.3579463501543,-12.6600251431612,-9.20418614526559
-7.70328028199585,-12.3563699137365,-12.6595880385375,-9.20093599721825
-7.70074431281473,-12.3561420466953,-12.6575176673592,-9.19523341542415
-7.69834623148817,-12.3513484283926,-12.6458682590318,-9.18668454716641
-7.69620179432089,-12.3372582383403,-12.6203358800165,-9.17545512437209
-7.69443805904868,-12.3119265262874,-12.5817290761578,-9.16232513475001
-7.69315195639311,-12.2769997471188,-12.5348675153698,-9.14853610128045
-7.69237151772434,-12.2371542194143,-12.486040695763,-9.13548748272187
-7.69203142321272,-12.1983920676334,-12.4407888416228,-9.1243958322187
-7.69197123072366,-12.1660432537123,-12.4028396355156,-9.11603121042317
-7.69195809035232,-12.1432974157246,-12.3739761195574,-9.11059642915201
-7.69172780444495,-12.1306073763042,-12.3543300834456,-9.10775317402847
-7.69103177005038,-12.1259001250488,-12.3428034720348,-9.10675958250543
-7.68967689505974,-12.1254066293732,-12.3374989213418,-9.10666889046236
-7.68755380937461,-12.1248820030972,-12.3360853705927,-9.1065335127898
-7.68465930194673,-12.1208652248808,-12.3360787359722,-9.10555905340047
-7.68111529678061,-12.1115311873215,-12.3351117235837,-9.10317024480249
-7.67716909518988,-12.0968328276634,-12.3312833219304,-9.09899083529885
-7.6731543662029,-12.0779961462937,-12.3235556392753,-9.09277776586762
-7.66941262662314,-12.056739322509,-12.3120133375406,-9.08435967404628
-7.66620320565166,-12.0346217810636,-12.2977911774512,-9.07361493501573
-7.66364157743886,-12.0127276123914,-12.2826475175797,-9.06050228968589
-7.66169144924451,-11.9916598233598,-12.2683721185053,-9.04513383360469
-7.66020487929905,-11.9717155853556,-12.2562917766174,-9.02785870877508
-7.65897738671506,-11.9531159512581,-12.2470426535787,-9.00931336564339
-7.6577782741722,-11.936198505915,-12.2406128932251,-8.99039983252731
-7.65633464090882,-11.9215042818614,-12.2365502526048,-8.97218145552048
-7.65428130257225,-11.9097135598267,-12.2342158659407,-8.95571990566394
-7.6511188536847,-11.9014270064709,-12.2329934301328,-8.94189387129773
-7.64622961263508,-11.8968311649772,-12.2324048854892,-8.93124148559304
-7.63898050495578,-11.8953314605635,-12.2321357796249,-8.92386727140896
-7.62890102896501,-11.8953107808584,-12.2320062893016,-8.91944260489615
-7.61587904295824,-11.8942182354556,-12.2319235150888,-8.91730203503653
-7.60029227318166,-11.8890993427422,-12.2318340053934,-8.91660926314393
-7.58300988516073,-11.8774481488217,-12.2316825124972,-8.91654754300691
-7.56525104395106,-11.8580305652075,-12.2313824693947,-8.91648181086395
-7.54834764997434,-11.8312891360955,-12.2308091990657,-8.91604776933053
-7.53349042846888,-11.7991692700954,-12.2298248632642,-8.91515071509374
-7.52152659015043,-11.7645193666728,-12.2283296327047,-8.91389242669336
-7.51284411340959,-11.7303635666665,-12.2263202620182,-8.9124667368278
-7.50734883700249,-11.6992994451335,-12.2239345366242,-8.91106493403947
-7.50452373815214,-11.673137042536,-12.221457844326,-8.90981717141652
-7.50355015533233,-11.6527661151258,-12.2192641105867,-8.90877567852194
-7.5034648564714,-11.638196930208,-12.2176852965684,-8.90792891574277
-7.5033247316864,-11.6287402883183,-12.2168631849244,-8.90722883464214
-7.50235181769078,-11.6232842986468,-12.2166601052357,-8.90661591259255
-7.50003482964698,-11.6205925298397,-12.2166524499825,-8.90603490939821
-7.49616991387929,-11.6195479220076,-12.2161899926466,-8.90544290548364
-7.49083519715102,-11.6192980013755,-12.214519204171,-8.90481444190367
-7.48431098844005,-11.6192916844863,-12.2109817171453,-8.90414579417438
-7.47697284958431,-11.6192295992674,-12.2052541365067,-8.90345638796072
-7.46918959626716,-11.6189705751819,-12.1975191395191,-8.90278440170611
-7.46125091633083,-11.6184362810787,-12.1884481509905,-8.90217580014839
-7.45333455916094,-11.6175379352083,-12.1789724041546,-8.90166962955771
-7.44550914484579,-11.6161291499071,-12.1699553647964,-8.90128536208504
-7.43776118684583,-11.6139840294063,-12.1619457432992,-8.90101796578599
-7.43003356970743,-11.6108133445851,-12.1551168717392,-8.90084266421102
-7.42226492416664,-11.6063439179171,-12.1493569084552,-8.90072597845744
-7.41442248168582,-11.6004662278852,-12.1444062537692,-8.90063559102919
-7.40652361907963,-11.5933952854177,-12.1399675988214,-8.90054239949964
-7.39864431806501,-11.5857343826021,-12.135769103021,-8.90041446753408
-7.39091531904589,-11.5783514784659,-12.1315963486421,-8.90020917264748
-7.38350687344472,-11.5720938361425,-12.127313322292,-8.89987102242738
-7.37660348844023,-11.5674937709788,-12.1228740715178,-8.89933900093627
-7.37037391742663,-11.5646285154583,-12.1183145847913,-8.89856298076887
-7.36494544945059,-11.5631828126278,-12.1137284589791,-8.89752487298346
-7.3603901045402,-11.5626462622966,-12.1092445602673,-8.89625663487934
-7.35672396533626,-11.5625334883216,-12.1050152469282,-8.89484600166324
-7.35391380537295,-11.5625307317911,-12.1012056972259,-8.89342340622347
-7.35188197271671,-11.5625215652733,-12.0979685688613,-8.89212981959161
-7.3505075996807,-11.5625095810259,-12.095400385301,-8.89107532089453
-7.34963500818407,-11.5625094567201,-12.0935010655366,-8.89030772248188
-7.34909828085694,-11.5624837961288,-12.0921686328495,-8.88980811712296
-7.34875214592636,-11.5623562111211,-12.0912385550034,-8.88951338227936
-7.34848908961188,-11.5620730535409,-12.0905398568212,-8.88934927916161
-7.34823613319684,-11.561659597858,-12.0899300483068,-8.88925536051101
-7.34794690017431,-11.561225992518,-12.0893028162941,-8.88919325725086
-7.34760900055211,-11.5609097563809,-12.0885961532414,-8.88914301181159
-7.3472640793309,-11.5607823724108,-12.0878242595407,-8.88909762090418
-7.34700636639747,-11.5607783229487,-12.0871116003147,-8.88906044237825
-7.34691590419652,-11.560699913688,-12.0866558621139,-8.88904074892122
-7.34691223188594,-11.5603069523135,-12.0865516242366,-8.88903939772319
-7.34657143045556,-11.5594455026465,-12.0864960425064,-8.88902277565269
-7.34500035912171,-11.5581407655254,-12.0855074225997,-8.88889494100579
-7.34087240105224,-11.5565968494303,-12.0818335553485,-8.88848648487999
-7.33268237747232,-11.5551039060258,-12.0731837854706,-8.88757590191209
-7.31918353158934,-11.553911266712,-12.0572893812331,-8.88594479587693
-7.29986234958483,-11.553137194883,-12.0326283487808,-8.88345042043925
-7.27524758424722,-11.5527513254346,-11.9990480058115,-8.88008923841448
-7.24689773441471,-11.5526241984888,-11.9580288753222,-8.8760274417658
-7.21706030405736,-11.5526087804058,-11.9124539228068,-8.87158455899507
-7.1881492735592,-11.5526066746271,-11.865968248061,-8.86717060273806
-7.16224231493631,-11.55258856709,-11.8221943402621,-8.86319273956958
-7.1407447868428,-11.5525707804728,-11.7840606122186,-8.85996045945157
-7.12426963241206,-11.5525688349658,-11.753387527064,-8.85762177833708
-7.11270405971421,-11.5525544888034,-11.7307715361301,-8.85615061949345
-7.10539509171757,-11.5524439297893,-11.7157188349468,-8.85538358713342
-7.10138077606934,-11.5521321979819,-11.7069355443974,-8.85508699902729
-7.09960871446143,-11.5515582907277,-11.702694741376,-8.85502820249338
-7.09910541397993,-11.5507576293926,-11.7012178435137,-8.85502802319379
-7.09908160180486,-11.5498617924202,-11.7009956803699,-8.85498260354272
-7.09897606960998,-11.5490419158097,-11.7009741553837,-8.85485742950521
-7.09845071388723,-11.54843216205,-11.700577248168,-8.85466541022572
-7.09735290745479,-11.5480795116029,-11.6996040593922,-8.85444149886954
-7.09566149852385,-11.5479415748984,-11.6980700943245,-8.85422208491909
-7.09343201665724,-11.5479219803255,-11.6960609932819,-8.85403285184822
-7.09075396954303,-11.5479155198746,-11.6936391616386,-8.85388527965232
-7.08772572252325,-11.5478370615027,-11.6908055788759,-8.85377911151098
-7.08444355359345,-11.5476248095134,-11.6874967623506,-8.85370714029972
-7.08099762686963,-11.5472250194237,-11.6836003637794,-8.85365970936408
-7.07746929828665,-11.5465691642367,-11.6789871450601,-8.85362764611321
-7.07392756065498,-11.5455509129761,-11.6735630017221,-8.85360333635326
-7.0704249289126,-11.5440116530694,-11.667335883416,-8.85358022957095
-7.06699404530855,-11.5417521799691,-11.6604751401797,-8.85355101998547
-7.06364617881932,-11.5385939010248,-11.6533288751316,-8.85350459472411
-7.06037196255851,-11.5344976010812,-11.6463751190292,-8.85342225977459
-7.0571440482165,-11.5297004801241,-11.6401141869553,-8.85327466031035
-7.05392166353974,-11.524776364949,-11.6349401562117,-8.8530215250386
-7.05065768635891,-11.5205205753731,-11.6310422747788,-8.85261606766451
-7.04730856963775,-11.5176454708817,-11.6283749172609,-8.85201434196252
-7.04384595278908,-11.5163964255159,-11.6267040558279,-8.85118782282705
-7.04026757701472,-11.5162688117056,-11.6257070029254,-8.85013568524267
-7.03660534098235,-11.5159860156754,-11.6250753685858,-8.84889225832245
-7.0329285874258,-11.5138127153092,-11.6245632129002,-8.847525921575
-7.02934051945243,-11.5081471598847,-11.6239535943754,-8.8461283273999
-7.02596675758075,-11.4981813759066,-11.6229700914191,-8.84479642058732
-7.02293728204772,-11.4843254690151,-11.6212012975989,-8.84361300634695
-7.02036486498718,-11.4681636918699,-11.6181126779288,-8.84263226314273
-7.01832453207276,-11.4519417129712,-11.6131741081456,-8.84187391330285
-7.01683912496233,-11.4378301933079,-11.6060537107298,-8.84132640966665
-7.01587466036627,-11.4272907881858,-11.5967866941576,-8.84095696823191
