"Comp1","Comp2","Comp3","Comp4"
-33.5938546592859,-39.4716414714461,-31.5667101996851,-31.9362305007721
-28.842455301958,-36.029125724427,-26.9696503831762,-27.3561443592942
-25.511509189133,-35.4997063983335,-23.7640594287364,-24.1747102661221
-22.9924357894001,-31.3310607867495,-21.3446673508774,-21.7842367617586
-21.0194511124403,-27.8885335106908,-19.4508757515435,-19.9213255889954
-19.4407330644865,-25.5672600415575,-17.9360992875615,-18.4368848630501
-18.1609613174833,-23.836675101745,-16.7089763663352,-17.2378231876695
-17.1178181535865,-22.5067789088375,-15.7097764696633,-16.263628823653
-16.2692467524273,-21.4829874084844,-14.8982340542604,-15.4739985483362
-15.585960748303,-20.7134337868143,-14.246496826925,-14.8413083832271
-15.0469984659122,-20.1694734068195,-13.7347490240321,-14.3458660628829
-14.636903262766,-19.8346377681639,-13.3482562925674,-13.9729777723187
-14.3435740982738,-19.6908319801686,-13.0750941097205,-13.7109213649818
-14.1559535180166,-19.6793786665242,-12.9038192699979,-13.5486649192606
-14.060395439622,-19.6148445784305,-12.8198768589739,-13.4718533440236
-14.0339321043298,-19.2553958896253,-12.7990987415298,-13.4553936092851
-14.0338227164776,-18.6862624803503,-12.798430713149,-13.4532339622811
-13.9930616077672,-18.1480805005643,-12.7541058628987,-13.3978994381829
-13.8490720062438,-17.7407252241558,-12.6107227716521,-13.2356186932323
-13.5982028486733,-17.475458733886,-12.3687927500902,-12.9755449575705
-13.2949762933473,-17.3356179754291,-12.0802282810005,-12.6758692719839
-12.997277261552,-17.2897893511311,-11.799034547232,-12.3904510108903
-12.7380172704482,-17.2883925917841,-11.5562077029987,-12.1476508709447
-12.5292455268517,-17.2691726424167,-11.3630623784143,-11.9564775880203
-12.3717988887822,-17.1924942554597,-11.2198848168104,-11.8157893312356
-12.2611913373992,-17.0748431529444,-11.1215236355542,-11.7197127633753
-12.190312397668,-16.9655310350537,-11.0601886919148,-11.6601885325862
-12.1506048422393,-16.9009118050581,-11.0268847749277,-11.6281993572664
-12.132802183727,-16.8840681620161,-11.0124213461487,-11.6146250803078
-12.1277728317362,-16.8832996939464,-11.0084110036061,-11.6111303103554
-12.1275691080414,-16.8456230917081,-11.0082154045088,-11.6110519800344
-12.1264000115635,-16.7361123830035,-11.0075401542109,-11.609992791763
-12.1210482261146,-16.5724864064123,-11.0044252190753,-11.6058908047132
-12.110477577393,-16.405357811689,-10.9986516768783,-11.5985856163548
-12.0949204255135,-16.2767960960806,-10.9908790405344,-11.5890799813313
-12.0749952608786,-16.2040110540745,-10.9819009754999,-11.5787561365515
-12.0511829762554,-16.1807467049447,-10.9722282628583,-11.5687805013622
-12.0236749062932,-16.1805534348752,-10.9619752706299,-11.5598171021344
-11.9924725375597,-16.1623937528622,-10.9509160242788,-11.5520196122521
-11.9576280292937,-16.0880215067814,-10.9385987771393,-11.5451732165188
-11.919538103698,-15.9470827686184,-10.9244774125473,-11.5388521906105
-11.879184030562,-15.7622513311632,-10.9080625782523,-11.5325152161955
-11.8382026834145,-15.5676776912567,-10.8890927489728,-11.5255260150166
-11.7987347994838,-15.3890284664304,-10.8676926867652,-11.5171321432109
-11.763086616919,-15.2391925572127,-10.8444643184844,-11.5064504973451
-11.7332949549757,-15.1222262577819,-10.8204642971477,-11.4925008334016
-11.7106983686527,-15.0377750400629,-10.7970501025692,-11.4743120286718
-11.6956220077586,-14.9833587660285,-10.77561748023,-11.4511006077057
-11.6872784262709,-14.9546369854097,-10.7573061327779,-11.4224795076905
-11.6839396600919,-14.9447536871478,-10.7427750783775,-11.3886200256908
-11.683354456678,-14.9441198461341,-10.7321152511279,-11.350302751073
-11.6833020713164,-14.9417291242193,-10.7249112934316,-11.3088469859618
-11.6821135314584,-14.9280931125456,-10.7204184161894,-11.2659565279114
-11.6789830996986,-14.8984472616716,-10.7177881672653,-11.2235366917879
-11.673975527995,-14.8541998778403,-10.7162654751584,-11.1835150764131
-11.6677715899296,-14.8015695317468,-10.7152928510974,-11.147660957488
-11.6612944999336,-14.7483822189029,-10.7145012819883,-11.1173984052437
-11.6553805287408,-14.7011352347548,-10.7136286432039,-11.0936382316294
-11.6505929381966,-14.6636303088713,-10.7124449751928,-11.0766602140327
